CODIGO;NOME;LOJA;NOME_FANTASIA;ESTOQUE ATUAL;VCTO_MEDIO;VENDA MEDIA
10082;AGUA MINERAL PEDRA AZUL SPORT S/GAS 12X510ML;TRESMANN - SMJ;PEDRA AZUL;298.0;219.8;17.083333333333336
10082;AGUA MINERAL PEDRA AZUL SPORT S/GAS 12X510ML;TRESMANN - STT;PEDRA AZUL;1.0;365.8;10.125
10083;AGUA TONICA ANTARCTICA LT 12X350ML;TRESMANN - VIX;AMBEV;94.0;258.4;94.54166666666666
10083;AGUA TONICA ANTARCTICA LT 12X350ML;TRESMANN - STT;AMBEV;79.0;200.6;143.91666666666666
10083;AGUA TONICA ANTARCTICA LT 12X350ML;TRESMANN - SMJ;AMBEV;45.0;233.0;11.375
10084;AGUA TONICA SCHWEPPES 6X350ML;TRESMANN - STT;COCA COLA;63.0;139.6;38.375
10084;AGUA TONICA SCHWEPPES 6X350ML;TRESMANN - VIX;COCA COLA;69.0;151.2;40.41666666666667
10084;AGUA TONICA SCHWEPPES 6X350ML;TRESMANN - SMJ;COCA COLA;18.0;135.0;8.916666666666666
10092;AGUARDENTE OURO CANA 12X900ML;TRESMANN - SMJ;CACHACA OURO CANA LTDA ME MEE;24.0;2051.2;13.875
10092;AGUARDENTE OURO CANA 12X900ML;TRESMANN - STT;CACHACA OURO CANA LTDA ME MEE;60.0;1113.4;40.5
10093;AGUARDENTE PIRASSUNUNGA 51 12X965ML;TRESMANN - SMJ;COTACAO - DESTILADOS;19.0;1845.4;3.5833333333333335
10093;AGUARDENTE PIRASSUNUNGA 51 12X965ML;TRESMANN - STT;COTACAO - DESTILADOS;7.0;804.6;7.458333333333334
10095;AGUARDENTE VELHO BARREIRO 12X910ML;TRESMANN - STT;COTACAO - DESTILADOS;17.0;981.2;4.166666666666666
10095;AGUARDENTE VELHO BARREIRO 12X910ML;TRESMANN - SMJ;COTACAO - DESTILADOS;7.0;1852.6;9.125
10097;OLEO SOJA SOYA PET 20X900ML;TRESMANN - STT;COTACAO - MERCEARIA OLEO SOJA;17.0;246.0;222.95833333333334
10097;OLEO SOJA SOYA PET 20X900ML;TRESMANN - VIX;COTACAO - MERCEARIA OLEO SOJA;29.0;198.0;32.83333333333333
10097;OLEO SOJA SOYA PET 20X900ML;TRESMANN - SMJ;COTACAO - MERCEARIA OLEO SOJA;5.0;245.4;184.45833333333334
10100;SAL GLOBO GRIL P/CHURRASCO 30X1KG;TRESMANN - STT;BRASISAL ALIMENTOS LTDA;217.0;605.6;56.375
10100;SAL GLOBO GRIL P/CHURRASCO 30X1KG;TRESMANN - SMJ;BRASISAL ALIMENTOS LTDA;303.0;488.0;24.041666666666664
10100;SAL GLOBO GRIL P/CHURRASCO 30X1KG;TRESMANN - VIX;BRASISAL ALIMENTOS LTDA;27.0;501.8;22.541666666666664
10103;BATIDA REGGIANI AMENDOIM 6X900ML;TRESMANN - STT;REGIANNI;16.0;710.6;2.666666666666667
10103;BATIDA REGGIANI AMENDOIM 6X900ML;TRESMANN - SMJ;REGIANNI;18.0;670.6;1.5416666666666667
10104;SAL GLOBO REFINADO 30X1KG;TRESMANN - SMJ;BRASISAL ALIMENTOS LTDA;757.0;584.0;409.08333333333337
10104;SAL GLOBO REFINADO 30X1KG;TRESMANN - VIX;BRASISAL ALIMENTOS LTDA;63.0;520.4;82.04166666666666
10104;SAL GLOBO REFINADO 30X1KG;TRESMANN - STT;BRASISAL ALIMENTOS LTDA;2022.0;464.4;743.2916666666667
10106;BATIDA REGGIANI CANELA 6X900ML;TRESMANN - SMJ;REGIANNI;17.0;786.8;0.625
10106;BATIDA REGGIANI CANELA 6X900ML;TRESMANN - STT;REGIANNI;18.0;711.2;1.4166666666666667
10110;BITTER REGGIANI 12X900ML;TRESMANN - SMJ;REGIANNI;8.0;365.6;0.6666666666666666
10110;BITTER REGGIANI 12X900ML;TRESMANN - STT;REGIANNI;3.0;679.8;1.375
10118;TRIGO N1 C/ FERMENTO 10X1KG;TRESMANN - SMJ;COTACAO - TRIGO;90.0;87.0;30.583333333333332
10118;TRIGO N1 C/ FERMENTO 10X1KG;TRESMANN - STT;COTACAO - TRIGO;22.0;93.0;11.375
10120;TRIGO REGINA PAPEL 10X1KG;TRESMANN - SMJ;COTACAO - TRIGO;3166.0;117.0;533.9166666666666
10120;TRIGO REGINA PAPEL 10X1KG;TRESMANN - STT;COTACAO - TRIGO;226.0;109.8;939.5833333333333
10120;TRIGO REGINA PAPEL 10X1KG;TRESMANN - VIX;COTACAO - TRIGO;51.0;110.2;62.166666666666664
10123;CATUABA REGGIANI 12X900ML;TRESMANN - SMJ;REGIANNI;84.0;707.8;6.166666666666667
10123;CATUABA REGGIANI 12X900ML;TRESMANN - STT;REGIANNI;83.0;538.0;5.625
10131;CERVEJA SKOL CARACU LONG NECK 6X355ML;TRESMANN - SMJ;AMBEV;8.0;162.4;7.416666666666666
10133;CERVEJA SKOL LATA 12X350ML;TRESMANN - VIX;AMBEV;3.0;205.2;48.20833333333333
10133;CERVEJA SKOL LATA 12X350ML;TRESMANN - SMJ;AMBEV;18.0;200.4;21.333333333333332
10133;CERVEJA SKOL LATA 12X350ML;TRESMANN - STT;AMBEV;42.0;179.8;14.083333333333334
