CODIGO;NOME;LOJA;ESTOQUE ATUAL;VCTO_MEDIO;VENDA MEDIA
10144;ICE OFF LEMON 12X275ML;TRESMANN - STT;251.0;170.0;242.45833333333331
10145;ICE OFF TANGERINA 12X275ML;TRESMANN - SMJ;54.0;132.0;10.25
10145;ICE OFF TANGERINA 12X275ML;TRESMANN - STT;41.0;143.2;53.125
10150;JURUBEBA LEAO NORTE 12X600ML;TRESMANN - STT;8.0;641.2;8.875
10150;JURUBEBA LEAO NORTE 12X600ML;TRESMANN - SMJ;3.0;1589.8;2.4166666666666665
10154;LICOR AMARULA 750ML;TRESMANN - STT;2.0;715.8;0.6666666666666666
10154;LICOR AMARULA 750ML;TRESMANN - SMJ;3.0;385.6;0.041666666666666664
10154;LICOR AMARULA 750ML;TRESMANN - VIX;3.0;1881.0;0.08333333333333333
10155;LICOR REGGIANI MENTA PEPPERMINT 12X950ML;TRESMANN - STT;11.0;568.2;1.125
10155;LICOR REGGIANI MENTA PEPPERMINT 12X950ML;TRESMANN - SMJ;24.0;644.6;0.5
10159;PARATUDO RAIZES AMARGAS 12X900ML;TRESMANN - SMJ;59.0;1548.8;14.041666666666668
10159;PARATUDO RAIZES AMARGAS 12X900ML;TRESMANN - STT;81.0;1100.8;45.625
10162;ENERGETICO RED BULL ENERGY DRINK 250ML;TRESMANN - SMJ;249.0;560.8;57.95833333333333
10162;ENERGETICO RED BULL ENERGY DRINK 250ML;TRESMANN - STT;131.0;516.0;112.79166666666667
10162;ENERGETICO RED BULL ENERGY DRINK 250ML;TRESMANN - VIX;73.0;538.8;37.58333333333333
10163;ENERGETICO RED BULL SUGAR FREE 24X250ML;TRESMANN - STT;72.0;282.8;64.83333333333333
10163;ENERGETICO RED BULL SUGAR FREE 24X250ML;TRESMANN - VIX;50.0;221.2;56.25
10163;ENERGETICO RED BULL SUGAR FREE 24X250ML;TRESMANN - SMJ;139.0;223.2;12.541666666666668
10164;REFRIGERANTE ANTARCTICA GUARANA DIET LT 12X350ML;TRESMANN - VIX;161.0;207.6;215.625
10164;REFRIGERANTE ANTARCTICA GUARANA DIET LT 12X350ML;TRESMANN - SMJ;3.0;202.2;13.25
10164;REFRIGERANTE ANTARCTICA GUARANA DIET LT 12X350ML;TRESMANN - STT;75.0;192.2;58.95833333333333
10165;REFRIGERANTE ANTARCTICA GUARANA LT 12X350ML;TRESMANN - STT;187.0;240.8;107.95833333333334
10165;REFRIGERANTE ANTARCTICA GUARANA LT 12X350ML;TRESMANN - SMJ;9.0;297.4;8.875
10165;REFRIGERANTE ANTARCTICA GUARANA LT 12X350ML;TRESMANN - VIX;137.0;304.2;127.95833333333333
10166;REFRIGERANTE ANTARCTICA GUARANA DIET 6X2LTS;TRESMANN - VIX;2.0;161.4;57.375
10166;REFRIGERANTE ANTARCTICA GUARANA DIET 6X2LTS;TRESMANN - SMJ;5.0;136.4;14.625
10166;REFRIGERANTE ANTARCTICA GUARANA DIET 6X2LTS;TRESMANN - STT;15.0;143.2;24.791666666666664
10167;REFRIGERANTE ANTARCTICA GUARANA 6X2LTS;TRESMANN - SMJ;96.0;164.0;37.708333333333336
